algoritmo,distribucion,tamaño,repeticion,tiempo_ms
TimSort,ordenado,300,2,0.019000
TimSort,ordenado,300,3,0.020000
Seleccion,reverso,300,1,0.247000
Seleccion,reverso,300,2,0.247000
Seleccion,reverso,300,3,0.247000
MergeSort,reverso,300,1,0.063000
MergeSort,reverso,300,2,0.054000
MergeSort,reverso,300,3,0.054000
CountingSort,reverso,300,1,0.015000
CountingSort,reverso,300,2,0.015000
CountingSort,reverso,300,3,0.015000
TimSort,reverso,300,1,0.049000
TimSort,reverso,300,2,0.048000
TimSort,reverso,300,3,0.049000
Seleccion,casi,300,1,0.234000
Seleccion,casi,300,2,0.234000
Seleccion,casi,300,3,0.243000
MergeSort,casi,300,1,0.063000
MergeSort,casi,300,2,0.064000
MergeSort,casi,300,3,0.062000
CountingSort,casi,300,1,0.014000
CountingSort,casi,300,2,0.014000
CountingSort,casi,300,3,0.014000
TimSort,casi,300,1,0.029000
TimSort,casi,300,2,0.029000
TimSort,casi,300,3,0.029000
Seleccion,duplicados,300,1,0.239000
Seleccion,duplicados,300,2,0.260000
Seleccion,duplicados,300,3,0.216000
MergeSort,duplicados,300,1,0.060000
MergeSort,duplicados,300,2,0.060000
MergeSort,duplicados,300,3,0.059000
CountingSort,duplicados,300,1,0.011000
CountingSort,duplicados,300,2,0.011000
CountingSort,duplicados,300,3,0.011000
TimSort,duplicados,300,1,0.033000
TimSort,duplicados,300,2,0.033000
TimSort,duplicados,300,3,0.033000
Seleccion,aleatorio,400,1,0.403000
Seleccion,aleatorio,400,2,0.392000
Seleccion,aleatorio,400,3,0.400000
MergeSort,aleatorio,400,1,0.092000
MergeSort,aleatorio,400,2,0.088000
MergeSort,aleatorio,400,3,0.089000
CountingSort,aleatorio,400,1,0.021000
CountingSort,aleatorio,400,2,0.019000
CountingSort,aleatorio,400,3,0.019000
TimSort,aleatorio,400,1,0.055000
TimSort,aleatorio,400,2,0.054000
TimSort,aleatorio,400,3,0.055000
Seleccion,ordenado,400,1,0.382000
Seleccion,ordenado,400,2,0.373000
Seleccion,ordenado,400,3,0.394000
MergeSort,ordenado,400,1,0.058000
MergeSort,ordenado,400,2,0.058000
MergeSort,ordenado,400,3,0.058000
CountingSort,ordenado,400,1,0.014000
CountingSort,ordenado,400,2,0.014000
CountingSort,ordenado,400,3,0.014000
TimSort,ordenado,400,1,0.021000
TimSort,ordenado,400,2,0.020000
TimSort,ordenado,400,3,0.021000
Seleccion,reverso,400,1,0.347000
Seleccion,reverso,400,2,0.356000
Seleccion,reverso,400,3,0.348000
MergeSort,reverso,400,1,0.059000
MergeSort,reverso,400,2,0.057000
MergeSort,reverso,400,3,0.058000
CountingSort,reverso,400,1,0.015000
CountingSort,reverso,400,2,0.014000
CountingSort,reverso,400,3,0.014000
TimSort,reverso,400,1,0.053000
TimSort,reverso,400,2,0.052000
TimSort,reverso,400,3,0.052000
Seleccion,casi,400,1,0.337000
Seleccion,casi,400,2,0.329000
Seleccion,casi,400,3,0.329000
MergeSort,casi,400,1,0.076000
